N_rpm,flow,pm_percent
300,Q=0.792,3.030483
310,Q=0.792,3.625161
320,Q=0.792,4.319388
330,Q=0.792,5.127090
340,Q=0.792,6.010471
350,Q=0.792,6.951194
360,Q=0.792,7.939693
370,Q=0.792,8.975663
380,Q=0.792,10.059066
390,Q=0.792,11.189844
400,Q=0.792,12.367918
410,Q=0.792,13.593192
420,Q=0.792,14.865847
430,Q=0.792,16.185812
440,Q=0.792,17.552757
450,Q=0.792,18.967251
460,Q=0.792,20.428716
470,Q=0.792,21.937577
480,Q=0.792,23.493452
490,Q=0.792,25.096791
500,Q=0.792,26.746918
510,Q=0.792,28.444824
520,Q=0.792,30.189526
530,Q=0.792,31.981552
540,Q=0.792,33.820942
550,Q=0.792,35.707181
560,Q=0.792,37.640923
570,Q=0.792,39.621944
580,Q=0.792,41.643732
590,Q=0.792,43.675312
600,Q=0.792,45.712232
610,Q=0.792,47.753000
620,Q=0.792,49.797292
630,Q=0.792,51.846278
640,Q=0.792,53.885819
650,Q=0.792,55.876180
660,Q=0.792,57.668928
670,Q=0.792,58.862110
680,Q=0.792,59.996125
690,Q=0.792,61.102273
700,Q=0.792,62.182112
300,Q=1.06,2.881974
310,Q=1.06,3.439469
320,Q=1.06,4.046339
330,Q=1.06,4.688500
340,Q=1.06,5.365803
350,Q=1.06,6.078276
360,Q=1.06,6.825931
370,Q=1.06,7.608761
380,Q=1.06,8.426744
390,Q=1.06,9.279844
400,Q=1.06,10.168012
410,Q=1.06,11.091585
420,Q=1.06,12.050212
430,Q=1.06,13.044077
440,Q=1.06,14.073187
450,Q=1.06,15.137487
460,Q=1.06,16.237061
470,Q=1.06,17.371913
480,Q=1.06,18.541892
490,Q=1.06,19.747393
500,Q=1.06,20.987930
510,Q=1.06,22.263913
520,Q=1.06,23.575222
530,Q=1.06,24.921623
540,Q=1.06,26.303552
550,Q=1.06,27.720820
560,Q=1.06,29.173227
570,Q=1.06,30.660034
580,Q=1.06,32.163240
590,Q=1.06,33.670699
600,Q=1.06,35.180937
610,Q=1.06,36.695103
620,Q=1.06,38.213318
630,Q=1.06,39.735587
640,Q=1.06,41.261989
650,Q=1.06,42.792675
660,Q=1.06,44.327872
670,Q=1.06,45.867881
680,Q=1.06,47.413076
690,Q=1.06,48.963175
700,Q=1.06,50.517975
300,Q=1.32 (design),3.111211
310,Q=1.32 (design),3.579030
320,Q=1.32 (design),4.074244
330,Q=1.32 (design),4.596903
340,Q=1.32 (design),5.147090
350,Q=1.32 (design),5.724833
360,Q=1.32 (design),6.330158
370,Q=1.32 (design),6.963168
380,Q=1.32 (design),7.623958
390,Q=1.32 (design),8.312397
400,Q=1.32 (design),9.028808
410,Q=1.32 (design),9.772904
420,Q=1.32 (design),10.545049
430,Q=1.32 (design),11.344937
440,Q=1.32 (design),12.172936
450,Q=1.32 (design),13.028801
460,Q=1.32 (design),13.912654
470,Q=1.32 (design),14.824620
480,Q=1.32 (design),15.764495
490,Q=1.32 (design),16.732398
500,Q=1.32 (design),17.728338
510,Q=1.32 (design),18.752249
520,Q=1.32 (design),19.804145
530,Q=1.32 (design),20.884041
540,Q=1.32 (design),21.991948
550,Q=1.32 (design),23.127878
560,Q=1.32 (design),24.291841
570,Q=1.32 (design),25.472767
580,Q=1.32 (design),26.657569
590,Q=1.32 (design),27.846335
600,Q=1.32 (design),29.038898
610,Q=1.32 (design),30.234728
620,Q=1.32 (design),31.434235
630,Q=1.32 (design),32.637657
640,Q=1.32 (design),33.845081
650,Q=1.32 (design),35.056651
660,Q=1.32 (design),36.272269
670,Q=1.32 (design),37.491779
680,Q=1.32 (design),38.715899
690,Q=1.32 (design),39.944994
700,Q=1.32 (design),41.178555
300,Q=1.58,3.391395
310,Q=1.58,3.792346
320,Q=1.58,4.215425
330,Q=1.58,4.660825
340,Q=1.58,5.128536
350,Q=1.58,5.618775
360,Q=1.58,6.131490
370,Q=1.58,6.666836
380,Q=1.58,7.224808
390,Q=1.58,7.805472
400,Q=1.58,8.408887
410,Q=1.58,9.035106
420,Q=1.58,9.684181
430,Q=1.58,10.356156
440,Q=1.58,11.051072
450,Q=1.58,11.768968
460,Q=1.58,12.509880
470,Q=1.58,13.273838
480,Q=1.58,14.060873
490,Q=1.58,14.871013
500,Q=1.58,15.704281
510,Q=1.58,16.560702
520,Q=1.58,17.440298
530,Q=1.58,18.343087
540,Q=1.58,19.269089
550,Q=1.58,20.218320
560,Q=1.58,21.181824
570,Q=1.58,22.149245
580,Q=1.58,23.120594
590,Q=1.58,24.095708
600,Q=1.58,25.074327
610,Q=1.58,26.056398
620,Q=1.58,27.042241
630,Q=1.58,28.031901
640,Q=1.58,29.025471
650,Q=1.58,30.022497
660,Q=1.58,31.023506
