file,time_s,higacc_x_g,higacc_y_g,higacc_z_g,higacc_mag_g,inacc_x_ms,inacc_y_ms,inacc_z_ms,inacc_mag_ms,rot_x_degs,rot_y_degs,rot_z_degs,rot_mag_degs,pressure_kpa,treatment,concentric_pump_region,passage_type,leading_type,other_type
B61-0703140718,20.98,0,0,0,0,11,-3.36,4.27,2.458761144,215.6,143.8,339.5,427.1089439,94.14,500 (100%),,No contact,,
B61-0703140718,20.9805,0,0,0,0,10.8625,-3.45725,4.3585,2.39422083,215.99,144.195,339.145,427.1571247,94.1655,500 (100%),,No contact,,
B61-0703140718,20.981,0,0,0,0,10.725,-3.5545,4.447,2.332318734,216.38,144.59,338.79,427.2063162,94.191,500 (100%),,No contact,,
B61-0703140718,20.9815,0,0,0,0,10.5875,-3.65175,4.5355,2.273095405,216.77,144.985,338.435,427.2565182,94.2165,500 (100%),,No contact,,
B61-0703140718,20.982,0,0,0,0,10.45,-3.749,4.624,2.216590415,217.16,145.38,338.08,427.3077303,94.242,500 (100%),,No contact,,
B61-0703140718,20.9825,0,0,0,0,10.3125,-3.84625,4.7125,2.162842251,217.55,145.775,337.725,427.3599522,94.2675,500 (100%),,No contact,,
B61-0703140718,20.983,0,0,0,0,10.175,-3.9435,4.801,2.1118882,217.94,146.17,337.37,427.4131835,94.293,500 (100%),,No contact,,
B61-0703140718,20.9835,0,0,0,0,10.0375,-4.04075,4.8895,2.063764233,218.33,146.565,337.015,427.4674237,94.3185,500 (100%),,No contact,,
B61-0703140718,20.984,0,0,0,0,9.9,-4.138,4.978,2.018504893,218.72,146.96,336.66,427.5226726,94.344,500 (100%),,No contact,,
B61-0703140718,20.9845,0,0,0,0,9.7625,-4.23525,5.0665,1.97614318,219.11,147.355,336.305,427.5789297,94.3695,500 (100%),,No contact,,
B61-0703140718,20.985,0,0,0,0,9.625,-4.3325,5.155,1.936710444,219.5,147.75,335.95,427.6361947,94.395,500 (100%),,No contact,,
B61-0703140718,20.9855,0,0,0,0,9.4875,-4.42975,5.2435,1.900236273,219.89,148.145,335.595,427.6944671,94.4205,500 (100%),,No contact,,
B61-0703140718,20.986,0,0,0,0,9.35,-4.527,5.332,1.866748392,220.28,148.54,335.24,427.7537464,94.446,500 (100%),,No contact,,
B61-0703140718,20.9865,0,0,0,0,9.2125,-4.62425,5.4205,1.836272561,220.67,148.935,334.885,427.8140324,94.4715,500 (100%),,No contact,,
B61-0703140718,20.987,0,0,0,0,9.075,-4.7215,5.509,1.808832482,221.06,149.33,334.53,427.8753246,94.497,500 (100%),,No contact,,
B61-0703140718,20.9875,0,0,0,0,8.9375,-4.81875,5.5975,1.784449709,221.45,149.725,334.175,427.9376225,94.5225,500 (100%),,No contact,,
B61-0703140718,20.988,0,0,0,0,8.8,-4.916,5.686,1.763143566,221.84,150.12,333.82,428.0009257,94.548,500 (100%),,No contact,,
B61-0703140718,20.9885,0,0,0,0,8.6625,-5.01325,5.7745,1.744931071,222.23,150.515,333.465,428.0652338,94.5735,500 (100%),,No contact,,
B61-0703140718,20.989,0,0,0,0,8.525,-5.1105,5.863,1.729826873,222.62,150.91,333.11,428.1305462,94.599,500 (100%),,No contact,,
B61-0703140718,20.9895,0,0,0,0,8.3875,-5.20775,5.9515,1.717843188,223.01,151.305,332.755,428.1968626,94.6245,500 (100%),,No contact,,
B61-0703140718,20.99,0,0,0,0,8.25,-5.305,6.04,1.708989756,223.4,151.7,332.4,428.2641825,94.65,500 (100%),,No contact,,
B61-0703140718,20.9905,0,0,0,0,8.0165,-5.297,5.96525,1.499583936,224.01,151.81,331.255,427.7342998,94.638,500 (100%),,No contact,,
B61-0703140718,20.991,0,0,0,0,7.783,-5.289,5.8905,1.291648537,224.62,151.92,330.11,427.207728,94.626,500 (100%),,No contact,,
B61-0703140718,20.9915,0,0,0,0,7.5495,-5.281,5.81575,1.085267749,225.23,152.03,328.965,426.6844795,94.614,500 (100%),,No contact,,
B61-0703140718,20.992,0,0,0,0,7.316,-5.273,5.741,0.880531605,225.84,152.14,327.82,426.1645663,94.602,500 (100%),,No contact,,
B61-0703140718,20.9925,0,0,0,0,7.0825,-5.265,5.66625,0.677536427,226.45,152.25,326.675,425.6480008,94.59,500 (100%),,No contact,,
B61-0703140718,20.993,0,0,0,0,6.849,-5.257,5.5915,0.476385286,227.06,152.36,325.53,425.1347952,94.578,500 (100%),,No contact,,
B61-0703140718,20.9935,0,0,0,0,6.6155,-5.249,5.51675,0.277188499,227.67,152.47,324.385,424.6249616,94.566,500 (100%),,No contact,,
B61-0703140718,20.994,0,0,0,0,6.382,-5.241,5.442,0.080064156,228.28,152.58,323.24,424.1185122,94.554,500 (100%),,No contact,,
B61-0703140718,20.9945,0,0,0,0,6.1485,-5.233,5.36725,-0.114861331,228.89,152.69,322.095,423.6154591,94.542,500 (100%),,No contact,,
