wf_m_per_s,flow,pco_percent
-3.5,Q=0.792,100.000000
-3.4,Q=0.792,100.000000
-3.3,Q=0.792,100.000000
-3.2,Q=0.792,100.000000
-3.1,Q=0.792,100.000000
-3,Q=0.792,100.000000
-2.9,Q=0.792,100.000000
-2.8,Q=0.792,100.000000
-2.7,Q=0.792,100.000000
-2.6,Q=0.792,100.000000
-2.5,Q=0.792,100.000000
-2.4,Q=0.792,100.000000
-2.3,Q=0.792,100.000000
-2.2,Q=0.792,100.000000
-2.1,Q=0.792,100.000000
-2,Q=0.792,100.000000
-1.9,Q=0.792,100.000000
-1.8,Q=0.792,100.000000
-1.7,Q=0.792,100.000000
-1.6,Q=0.792,100.000000
-1.5,Q=0.792,100.000000
-1.4,Q=0.792,100.000000
-1.3,Q=0.792,100.000000
-1.2,Q=0.792,100.000000
-1.1,Q=0.792,100.000000
-1,Q=0.792,100.000000
-0.9,Q=0.792,100.000000
-0.8,Q=0.792,100.000000
-0.7,Q=0.792,100.000000
-0.6,Q=0.792,100.000000
-0.5,Q=0.792,97.050430
-0.4,Q=0.792,91.825007
-0.3,Q=0.792,87.133534
-0.2,Q=0.792,82.898147
-0.1,Q=0.792,79.055421
0,Q=0.792,75.553169
0.1,Q=0.792,72.348062
0.2,Q=0.792,69.403822
0.3,Q=0.792,66.689845
0.4,Q=0.792,64.180137
0.5,Q=0.792,61.852471
0.6,Q=0.792,59.687734
0.7,Q=0.792,57.669398
0.8,Q=0.792,55.783097
0.9,Q=0.792,54.016285
1,Q=0.792,52.357957
1.1,Q=0.792,50.798420
1.2,Q=0.792,49.329100
1.3,Q=0.792,47.942389
1.4,Q=0.792,46.631512
1.5,Q=0.792,45.390412
1.6,Q=0.792,44.213664
1.7,Q=0.792,43.096388
1.8,Q=0.792,42.034188
1.9,Q=0.792,41.023088
2,Q=0.792,40.059488
2.1,Q=0.792,39.140118
2.2,Q=0.792,38.262000
2.3,Q=0.792,37.422419
2.4,Q=0.792,36.618893
2.5,Q=0.792,35.849148
2.6,Q=0.792,35.111097
2.7,Q=0.792,34.402823
2.8,Q=0.792,33.722559
2.9,Q=0.792,33.068675
3,Q=0.792,32.439667
3.1,Q=0.792,31.834142
3.2,Q=0.792,31.250808
3.3,Q=0.792,30.688467
3.4,Q=0.792,30.146007
3.5,Q=0.792,29.622391
-3.5,Q=1.06,100.000000
-3.4,Q=1.06,100.000000
-3.3,Q=1.06,100.000000
-3.2,Q=1.06,100.000000
-3.1,Q=1.06,100.000000
-3,Q=1.06,100.000000
-2.9,Q=1.06,100.000000
-2.8,Q=1.06,100.000000
-2.7,Q=1.06,100.000000
-2.6,Q=1.06,100.000000
-2.5,Q=1.06,100.000000
-2.4,Q=1.06,100.000000
-2.3,Q=1.06,100.000000
-2.2,Q=1.06,100.000000
-2.1,Q=1.06,100.000000
-2,Q=1.06,100.000000
-1.9,Q=1.06,100.000000
-1.8,Q=1.06,100.000000
-1.7,Q=1.06,100.000000
-1.6,Q=1.06,100.000000
-1.5,Q=1.06,100.000000
-1.4,Q=1.06,100.000000
-1.3,Q=1.06,99.751019
-1.2,Q=1.06,94.238997
-1.1,Q=1.06,89.304240
-1,Q=1.06,84.860578
-0.9,Q=1.06,80.838176
-0.8,Q=1.06,77.179842
-0.7,Q=1.06,73.838288
-0.6,Q=1.06,70.774077
-0.5,Q=1.06,67.954054
-0.4,Q=1.06,65.350150
-0.3,Q=1.06,62.938438
-0.2,Q=1.06,60.698396
-0.1,Q=1.06,58.612325
0,Q=1.06,56.664877
0.1,Q=1.06,54.842679
0.2,Q=1.06,53.134024
0.3,Q=1.06,51.528621
0.4,Q=1.06,50.017384
0.5,Q=1.06,48.592265
0.6,Q=1.06,47.246107
0.7,Q=1.06,45.972524
0.8,Q=1.06,44.765800
0.9,Q=1.06,43.620807
1,Q=1.06,42.532925
1.1,Q=1.06,41.497985
1.2,Q=1.06,40.512214
1.3,Q=1.06,39.572190
1.4,Q=1.06,38.674800
1.5,Q=1.06,37.817208
1.6,Q=1.06,36.996825
1.7,Q=1.06,36.211279
1.8,Q=1.06,35.458399
1.9,Q=1.06,34.736188
2,Q=1.06,34.042809
2.1,Q=1.06,33.376570
2.2,Q=1.06,32.735908
2.3,Q=1.06,32.119378
2.4,Q=1.06,31.525641
2.5,Q=1.06,30.953456
2.6,Q=1.06,30.401672
2.7,Q=1.06,29.869215
2.8,Q=1.06,29.355088
2.9,Q=1.06,28.858361
