wf_m_per_s,Pco_percent
-3.5,33.053411
-3.4,33.079617
-3.3,33.114204
-3.2,33.157159
-3.1,33.208468
-3,33.268250
-2.9,33.336444
-2.8,33.412956
-2.7,33.497759
-2.6,33.590823
-2.5,33.692116
-2.4,33.801603
-2.3,33.919244
-2.2,34.045001
-2.1,34.178830
-2,33.450619
-1.9,31.800222
-1.8,30.318799
-1.7,28.987669
-1.6,27.785937
-1.5,26.696469
-1.4,25.705329
-1.3,24.800095
-1.2,23.970667
-1.1,23.208460
-1,22.506489
-0.9,21.858206
-0.8,21.258001
-0.7,20.701149
-0.6,20.183943
-0.5,19.702254
-0.4,19.252874
-0.3,18.833419
-0.2,18.440938
-0.1,18.073200
0,17.728338
0.1,17.404357
0.2,17.099642
0.3,16.812737
0.4,16.542325
0.5,16.287214
0.6,16.046319
0.7,15.818654
0.8,15.603319
0.9,15.399491
1,15.206417
1.1,15.023405
1.2,14.849819
1.3,14.685073
1.4,14.528629
1.5,14.379987
1.6,14.238685
1.7,14.104297
1.8,13.976425
1.9,13.854700
2,13.738782
2.1,13.628349
2.2,13.523105
2.3,13.422771
2.4,13.327089
2.5,13.235815
2.6,13.148722
2.7,13.065597
2.8,12.986240
2.9,12.910464
3,12.838091
3.1,12.768957
3.2,12.702904
3.3,12.639786
3.4,12.578949
3.5,12.520525
